Name,raw_smiles,smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,molstr,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
Coumain,C1=CC=C2C(=C1)C=CC(=O)O2,O=c1ccc2ccccc2o1,146.04,151.5055672,0.963924974,2,0,30.21,0,2,10,2,0,12,0,0,0,0.53,1.672,0,9,0.234,"[(10, 1, 0)]",['-'],['-'],['-'],0,0,0,1,-1.997318878,1.578839369,1.471744889,67.02779674,312.7910521,8.415033828,0.208126085,-4.109653805,-4.509912797,0.675348341,0.002706003,0.000372249,0.000812352,0.589417458,0.2419824,0.05121237,0.691464245,0.988847494,2.77E-05,0.947903574,0.006840443,0.995471597,92.32948417,-0.067310713,8.481076418,0.998484075,0.504426599,0.543298483,0.923601329,0.100076064,0.947565198,0.006247092,0.003663863,0.370846212,0.90158534,0.623315752,0.999564111,0.648804724,0.983731866,6.19802968,0.777016618,0.422950103,3.096084266,4.101874526,3.756376672,0.10174226,0.407067716,0.754074872,0.592501044,0.478299171,0.484321535,0.282485783,0.801836729,0.876191199,0.992103815,0.655343592,0.467897058,0.321034938,0.095217839,0.230909601,0.14971976,0.777050316,0.045084972,0.058598038,0.20026806,0.280841529,0.191721171,0.012195093,0.015448706,0.228683442,0.012062101,0.091435805,0.209634617,0.03107518,0.01472712,0.01817519,0.090395898,"<?xml version='1.0' encoding='iso-8859-1'?><svg version='1.1' baseProfile='full'              xmlns='http://www.w3.org/2000/svg'                      xmlns:rdkit='http://www.rdkit.org/xml'                      xmlns:xlink='http://www.w3.org/1999/xlink'                  xml:space='preserve'width='200px' height='200px' viewBox='0 0 200 200'><!-- END OF HEADER --><rect style='opacity:1.0;fill:none;stroke:none' width='200.0' height='200.0' x='0.0' y='0.0'> </rect><path class='bond-0 atom-0 atom-1' d='M 22.4,77.0 L 38.1,83.0' style='fill:none;fill-rule:evenodd;stroke:#FF0000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-0 atom-0 atom-1' d='M 38.1,83.0 L 53.8,89.1' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-0 atom-0 atom-1' d='M 20.3,82.4 L 36.0,88.5' style='fill:none;fill-rule:evenodd;stroke:#FF0000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-0 atom-0 atom-1' d='M 36.0,88.5 L 51.8,94.5' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-1 atom-1 atom-2' d='M 51.2,91.2 L 57.2,129.5' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-2 atom-2 atom-3' d='M 57.2,129.5 L 93.4,143.5' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-2 atom-2 atom-3' d='M 62.5,125.3 L 92.4,136.9' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-3 atom-3 atom-4' d='M 93.4,143.5 L 123.6,119.2' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-4 atom-4 atom-5' d='M 123.6,119.2 L 159.8,133.1' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-4 atom-4 atom-5' d='M 128.8,114.9 L 158.8,126.5' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-5 atom-5 atom-6' d='M 159.8,133.1 L 190.0,108.8' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-6 atom-6 atom-7' d='M 190.0,108.8 L 184.0,70.5' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-6 atom-6 atom-7' d='M 183.7,106.4 L 178.8,74.7' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-7 atom-7 atom-8' d='M 184.0,70.5 L 147.8,56.5' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-8 atom-8 atom-9' d='M 147.8,56.5 L 117.6,80.8' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-8 atom-8 atom-9' d='M 148.9,63.1 L 123.9,83.3' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-9 atom-9 atom-10' d='M 117.6,80.8 L 102.7,75.1' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-9 atom-9 atom-10' d='M 102.7,75.1 L 87.8,69.3' style='fill:none;fill-rule:evenodd;stroke:#FF0000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-10 atom-10 atom-1' d='M 75.1,72.0 L 63.2,81.6' style='fill:none;fill-rule:evenodd;stroke:#FF0000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-10 atom-10 atom-1' d='M 63.2,81.6 L 51.2,91.2' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-11 atom-9 atom-4' d='M 117.6,80.8 L 123.6,119.2' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path d='M 51.5,93.1 L 51.2,91.2 L 51.8,90.7' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path d='M 56.9,127.6 L 57.2,129.5 L 59.0,130.2' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path d='M 91.6,142.8 L 93.4,143.5 L 94.9,142.3' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path d='M 158.0,132.4 L 159.8,133.1 L 161.3,131.9' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path d='M 188.5,110.0 L 190.0,108.8 L 189.7,106.9' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path d='M 184.3,72.4 L 184.0,70.5 L 182.2,69.8' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path d='M 149.6,57.2 L 147.8,56.5 L 146.3,57.7' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path class='atom-0' d='M 10.0 77.3Q 10.0 74.6, 11.3 73.2Q 12.6 71.7, 15.0 71.7Q 17.5 71.7, 18.8 73.2Q 20.1 74.6, 20.1 77.3Q 20.1 80.0, 18.8 81.5Q 17.4 83.0, 15.0 83.0Q 12.6 83.0, 11.3 81.5Q 10.0 80.0, 10.0 77.3M 15.0 81.7Q 16.7 81.7, 17.6 80.6Q 18.5 79.5, 18.5 77.3Q 18.5 75.1, 17.6 74.0Q 16.7 72.9, 15.0 72.9Q 13.4 72.9, 12.5 74.0Q 11.6 75.1, 11.6 77.3Q 11.6 79.5, 12.5 80.6Q 13.4 81.7, 15.0 81.7' fill='#FF0000'/><path class='atom-10' d='M 76.4 66.9Q 76.4 64.3, 77.7 62.8Q 79.0 61.3, 81.4 61.3Q 83.9 61.3, 85.2 62.8Q 86.5 64.3, 86.5 66.9Q 86.5 69.6, 85.2 71.1Q 83.8 72.6, 81.4 72.6Q 79.0 72.6, 77.7 71.1Q 76.4 69.6, 76.4 66.9M 81.4 71.4Q 83.1 71.4, 84.0 70.2Q 84.9 69.1, 84.9 66.9Q 84.9 64.7, 84.0 63.7Q 83.1 62.6, 81.4 62.6Q 79.8 62.6, 78.8 63.6Q 77.9 64.7, 77.9 66.9Q 77.9 69.1, 78.8 70.2Q 79.8 71.4, 81.4 71.4' fill='#FF0000'/></svg>",['-'],['-'],['-'],['-'],['-'],['-'],"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10)]","[(8,)]",0.223,0.381,0.93,0.151,0.995,0.523,0.93
Geraniol,CC(=CCC/C(=C/CO)/C)C,CC(C)=CCC/C(C)=C/CO,154.14,185.0336202,0.8330378,1,1,20.23,4,0,0,1,0,2,2,0,0,0.617,2.681,0.6,0,2.905,['-'],['-'],['-'],['-'],0,1,0,1,-2.953830441,2.853364768,3.427562657,-0.029885665,222.1643047,8.348265046,6.308901084,-4.425561391,-4.790446083,0.048712201,0.926977038,0.002229071,0.608932436,0.126496375,0.472948015,0.821286052,0.999411106,0.997362316,0.034940328,0.404685378,0.036598232,0.521239281,69.5711928,-0.184892375,30.00954494,0.002611358,0.013259138,0.009551781,0.974983513,0.009767083,0.750095546,0.001731359,0.40996027,0.302442729,0.00455942,0.046687499,6.85E-07,0.1155665,0.919814825,10.98955837,1.497328335,1.957853012,4.037773195,5.436703388,4.82365345,0.048563264,0.304298341,0.206948921,0.22803764,0.085711487,0.048848718,0.982812464,0.518123388,0.951989651,0.996566534,0.775836706,0.680855513,0.597064257,0.305029362,0.373256296,0.292507231,0.014169116,0.048940685,0.058594212,0.047500983,0.000639364,0.000706124,0.003019031,0.000226265,0.026655067,0.000579152,2.25E-05,0.397264063,0.000324521,0.000897912,0.001806338,0.000139579,"<?xml version='1.0' encoding='iso-8859-1'?><svg version='1.1' baseProfile='full'              xmlns='http://www.w3.org/2000/svg'                      xmlns:rdkit='http://www.rdkit.org/xml'                      xmlns:xlink='http://www.w3.org/1999/xlink'                  xml:space='preserve'width='200px' height='200px' viewBox='0 0 200 200'><!-- END OF HEADER --><rect style='opacity:1.0;fill:none;stroke:none' width='200.0' height='200.0' x='0.0' y='0.0'> </rect><path class='bond-0 atom-0 atom-1' d='M 10.0,120.4 L 30.8,107.3' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-1 atom-1 atom-2' d='M 30.8,107.3 L 29.9,82.7' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-2 atom-1 atom-3' d='M 30.8,107.3 L 52.6,118.8' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-2 atom-1 atom-3' d='M 34.4,105.1 L 52.4,114.6' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-3 atom-3 atom-4' d='M 52.6,118.8 L 73.4,105.8' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-4 atom-4 atom-5' d='M 73.4,105.8 L 95.1,117.3' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-5 atom-5 atom-6' d='M 95.1,117.3 L 116.0,104.2' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-6 atom-6 atom-7' d='M 116.0,104.2 L 115.1,79.6' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-7 atom-6 atom-8' d='M 116.0,104.2 L 137.7,115.7' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-7 atom-6 atom-8' d='M 119.6,101.9 L 137.5,111.4' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-8 atom-8 atom-9' d='M 137.7,115.7 L 158.5,102.6' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-9 atom-9 atom-10' d='M 158.5,102.6 L 167.4,107.3' style='fill:none;fill-rule:evenodd;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path class='bond-9 atom-9 atom-10' d='M 167.4,107.3 L 176.3,112.0' style='fill:none;fill-rule:evenodd;stroke:#FF0000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1' /><path d='M 51.5,118.2 L 52.6,118.8 L 53.6,118.2' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path d='M 72.4,106.4 L 73.4,105.8 L 74.5,106.3' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path d='M 94.0,116.7 L 95.1,117.3 L 96.2,116.6' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path d='M 136.6,115.1 L 137.7,115.7 L 138.7,115.0' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path d='M 157.5,103.3 L 158.5,102.6 L 159.0,102.8' style='fill:none;stroke:#000000;stroke-width:2.0px;stroke-linecap:square;stroke-linejoin:miter;stroke-opacity:1;' /><path class='atom-10' d='M 177.1 114.1Q 177.1 112.5, 177.9 111.5Q 178.7 110.6, 180.3 110.6Q 181.8 110.6, 182.6 111.5Q 183.5 112.5, 183.5 114.1Q 183.5 115.8, 182.6 116.8Q 181.8 117.7, 180.3 117.7Q 178.7 117.7, 177.9 116.8Q 177.1 115.8, 177.1 114.1M 180.3 117.0Q 181.3 117.0, 181.9 116.2Q 182.5 115.5, 182.5 114.1Q 182.5 112.8, 181.9 112.1Q 181.3 111.4, 180.3 111.4Q 179.2 111.4, 178.6 112.1Q 178.1 112.8, 178.1 114.1Q 178.1 115.5, 178.6 116.2Q 179.2 117.0, 180.3 117.0' fill='#FF0000'/><path class='atom-10' d='M 184.6 110.7L 185.5 110.7L 185.5 113.6L 189.1 113.6L 189.1 110.7L 190.0 110.7L 190.0 117.6L 189.1 117.6L 189.1 114.4L 185.5 114.4L 185.5 117.6L 184.6 117.6L 184.6 110.7' fill='#FF0000'/></svg>",['-'],['-'],['-'],['-'],"[(5,)]",['-'],['-'],"[(6, 8, 9, 10)]",0.029,0,0.001,0,0.999,0.2,0.115
